### EC-numbers
1.4.3.-	4.2.1.1	2.7.6.-	3.5.1.88	5.4.99.-	3.1.21.4	2.3.1.48	7.2.1.-	1.16.3.1	3.4.19.12	1.3.8.-	2.7.7.19	2.4.2.-	1.1.1.169	2.4.2.10	3.5.3.1	3.3.2.-	3.1.26.4	7.1.1.9	3.4.13.9	1.1.1.100	5.1.1.-	3.1.22.-	3.4.21.-	1.11.1.-	3.4.22.28	4.6.1.18	3.4.21.4	6.1.1.4	1.15.1.1	3.4.19.-	3.4.11.1	3.4.25.1	1.3.1.9	2.4.99.-	1.1.99.-	1.97.1.12	2.7.4.6	1.17.1.-	1.7.2.-	2.7.1.71	4.2.1.11	3.4.21.90	4.1.99.-	2.8.1.1	3.6.4.13	6.3.4.4	2.7.11.1	2.7.7.23	1.9.3.-	2.3.1.39	4.1.1.11	3.2.1.26	3.1.13.-	1.8.99.-	1.11.1.6	4.2.1.2	5.3.4.1	3.2.1.4	3.4.21.5	1.14.16.-	6.3.4.2	2.1.1.37	1.12.99.-	2.1.1.361	2.1.1.-	3.1.8.1	2.7.11.-	2.3.2.24	2.7.7.48	3.5.1.98	3.1.1.31	2.7.11.22	1.18.1.2	3.1.13.4	4.1.1.23	3.2.2.27	2.5.1.7	1.14.11.-	3.5.1.2	6.3.1.2	4.3.2.-	4.1.2.25	5.3.2.-	2.7.1.1	3.1.11.-	2.7.7.4	3.6.3.14	4.2.1.20	2.3.1.41	1.18.6.1	2.3.1.74	6.3.2.19	3.2.2.22	2.8.4.1	2.4.2.17	2.1.1.56	1.10.3.-	2.5.1.54	1.2.1.11	4.2.1.8	3.1.3.16	1.12.7.2	2.7.1.-	1.17.4.1	2.7.10.-	3.1.2.14	5.3.1.6	3.4.21.91	2.2.1.-	2.7.1.2	2.7.3.-	3.1.22.4	2.3.1.16	4.99.1.-	2.7.1.35	3.4.22.69	3.1.27.-	1.12.7.-	5.1.3.-	2.7.7.65	1.17.4.-	5.3.1.24	4.2.1.59	2.5.1.10	1.8.4.11	3.4.25.-	2.7.10.2	5.2.1.-	6.1.1.3	2.7.7.49	2.8.4.-	4.1.3.-	2.3.1.31	1.1.1.205	3.1.30.-	3.4.23.-	6.5.1.2	6.1.1.15	3.6.4.-	6.2.1.-	4.1.3.3	2.7.7.60	6.3.2.6	5.1.1.3	2.4.2.9	1.14.13.-	1.1.2.-	1.1.1.1	5.1.99.-	2.8.2.-	2.5.1.47	2.7.11.24	3.4.22.15	2.6.1.42	2.1.3.2	3.2.2.9	4.2.3.3	2.6.1.-	1.5.1.-	2.7.7.24	2.1.1.57	6.1.1.20	5.3.1.5	2.7.1.25	2.2.1.1	3.6.1.1	2.3.3.16	6.3.4.-	2.7.7.9	1.18.1.-	4.2.99.-	4.1.2.4	3.1.3.1	5.3.3.8	3.2.1.1	2.7.10.1	4.2.1.113	4.2.2.2	6.1.1.1	3.1.3.-	1.2.4.-	1.6.99.-	2.5.1.18	3.4.22.29	3.1.3.2	1.1.1.27	2.3.1.286	1.14.15.-	2.7.7.3	3.1.13.2	2.7.7.6	5.4.99.18	4.1.1.39	2.7.4.8	5.6.2.1	2.3.1.-	1.7.1.-	1.6.5.2	1.18.6.-	4.6.1.2	2.6.1.52	3.1.6.-	1.6.5.-	2.3.2.31	3.6.5.5	2.8.3.-	2.3.2.-	3.2.1.18	3.5.99.-	3.1.4.35	3.1.8.-	2.3.1.12	1.6.2.-	2.1.1.72	2.3.3.-	3.4.21.92	1.14.11.27	2.7.11.17	2.1.1.359	2.7.13.-	2.5.1.15	6.3.3.-	3.2.1.22	6.1.1.6	4.3.3.7	3.4.11.18	4.2.3.4	3.1.2.-	2.4.2.8	4.1.1.48	3.7.1.-	3.1.4.53	7.2.2.-	2.7.6.5	3.6.5.3	4.3.3.-	2.7.1.21	3.1.4.-	1.11.1.24	3.6.4.10	1.14.14.1	3.5.1.60	3.2.1.52	1.16.3.-	3.1.26.3	3.4.24.69	3.5.1.11	2.1.1.193	1.7.2.1	1.14.99.-	3.6.5.2	2.7.7.n1	4.1.1.-	2.3.2.26	2.4.1.15	2.5.1.-	3.1.3.11	1.14.11.67	2.3.1.180	2.4.2.7	3.6.4.12	2.5.1.19	1.1.1.-	1.8.1.9	1.9.3.1	2.7.1.15	2.7.1.11	3.4.11.-	2.1.2.-	7.6.2.-	3.5.1.28	3.8.1.5	6.3.4.13	1.11.1.9	1.13.11.-	4.1.2.13	3.4.16.4	6.1.1.7	1.1.3.-	2.4.1.129	3.1.1.29	3.4.21.53	3.6.5.-	3.1.1.4	1.1.1.86	3.2.2.-	2.6.1.1	4.2.99.18	5.5.1.-	2.7.11.30	3.1.26.-	1.8.1.4	1.14.14.-	3.2.1.14	3.5.4.-	2.1.2.1	3.2.1.3	1.97.1.-	6.3.4.14	2.7.12.1	2.7.11.25	2.5.1.17	6.3.5.2	6.3.2.1	3.2.1.78	3.1.11.2	1.6.99.3	2.1.2.2	1.1.1.42	7.1.1.8	7.1.1.2	3.1.2.2	3.4.22.46	3.1.3.36	2.4.1.-	3.1.3.33	4.3.2.2	1.14.12.-	1.13.12.-	3.4.22.-	5.3.1.1	4.2.1.-	3.2.1.169	3.2.1.17	6.5.1.1	1.1.1.35	1.3.5.-	1.2.1.3	2.5.1.1	7.2.2.8	6.3.1.-	2.5.1.78	2.7.7.50	2.1.3.-	2.7.7.-	5.4.3.8	2.7.2.4	1.10.3.2	3.1.1.3	3.6.1.15	5.6.2.2	3.1.3.3	3.2.1.20	3.6.1.9	2.3.2.27	3.6.1.23	6.1.1.-	4.2.1.10	3.4.13.-	6.3.2.4	1.1.1.2	3.4.21.107	1.6.99.1	2.7.4.9	1.15.1.-	3.6.1.34	1.3.1.-	3.6.1.55	3.4.24.-	3.6.1.-	4.1.1.50	4.2.2.-	3.3.1.1	3.4.22.1	3.1.4.11	3.5.1.1	3.3.1.-	1.1.1.267	3.2.1.55	1.1.1.25	3.6.1.7	2.7.13.3	2.7.1.40	2.3.1.9	1.7.3.-	5.4.2.-	1.7.1.17	3.2.2.6	4.1.1.33	1.8.5.-	5.3.3.-	3.2.1.31	6.3.5.-	1.14.19.-	6.1.1.11	1.12.99.6	1.4.1.-	4.6.1.1	3.1.3.86	3.2.1.91	4.3.2.10	3.4.16.-	3.1.3.5	3.5.4.4	6.4.1.-	1.17.1.8	2.5.1.16	4.3.1.-	3.4.23.16	6.3.3.1	3.2.1.73	5.1.3.13	1.2.1.12	1.6.2.4	6.1.1.17	2.3.1.1	3.5.3.-	3.2.1.8	2.1.1.45	3.2.1.21	5.1.3.2	2.3.1.129	2.7.2.-	5.3.1.-	2.7.2.8	2.4.2.1	1.14.14.18	3.5.1.5	3.5.4.38	5.4.3.-	6.5.1.-	2.7.12.2	2.5.1.55	1.8.1.7	3.1.21.-	1.8.4.12	1.11.1.15	1.1.1.85	3.6.1.3	2.7.1.33	2.7.8.7	3.1.3.25	3.2.1.96	7.1.1.-	3.2.1.39	2.4.2.3	3.5.4.9	2.2.1.2	3.6.3.-	3.5.1.-	1.11.1.7	1.5.1.5	2.4.2.19	1.8.3.2	1.3.99.-	1.5.3.-	5.6.1.-	1.8.1.-	2.7.3.9	2.5.1.6	3.4.21.62	1.8.4.-	5.3.1.16	2.3.2.2	3.4.17.-	2.7.4.-	3.2.1.-	6.3.1.5	4.3.3.6	2.1.3.3	1.5.1.3	3.5.2.3	5.4.2.11	2.7.7.8	2.8.1.7	2.7.7.7	3.2.1.37	2.7.12.-	5.3.1.9	1.2.7.-	6.1.1.2	7.1.2.-	2.3.1.5	3.4.14.-	6.1.1.10	1.16.1.-	2.1.1.228	3.5.2.6	2.1.1.354	2.7.4.3	4.1.2.-	4.4.1.5	5.3.4.-	4.6.1.-	5.1.1.1	3.4.24.3	4.4.1.-	1.3.7.-	2.3.1.117	5.4.99.5	1.2.1.-	2.4.2.30	1.14.18.-	3.1.1.1	3.1.3.48	3.4.21.98	5.6.2.-	3.1.26.5	7.2.1.1	2.7.11.12	1.3.3.-	2.7.7.18	3.1.1.-	5.2.1.8	2.7.1.69	1.1.1.37	3.6.4.6	3.1.4.17	2.7.11.13	3.5.2.-	4.2.1.17	2.7.2.3	4.2.3.-	5.3.99.-	3.1.1.72	2.3.1.179	3.2.1.23	1.14.13.25	3.1.26.13	3.8.1.-	4.1.1.20	2.7.11.26	6.1.1.21	2.7.11.21	2.7.4.22	1.8.3.-	2.3.1.57	1.3.5.1	3.1.1.53	7.1.2.2	6.4.1.2	2.7.8.-	6.3.2.-	2.8.1.-	3.5.4.5	4.6.1.12	2.3.2.23
### SWISS-MODEL-chain	EC-numbers
Q9UVE1-A	4.2.1.-
P07172-A	2.6.1.-
B1K1H7-A	2.1.1.-
P18637-C	1.12.99.-,1.12.99.6
P74207-A	4.2.1.-
Q9KRD8-A	2.1.1.-
Q5U2U7-A	2.1.1.-,2.1.1.56
Q4FNN1-A	2.5.1.-,2.5.1.6
P32783-A	2.1.1.-,2.1.1.56
P0C7R2-A	2.3.1.-
Q5YRD1-A	3.6.3.-
A1R0A7-A	2.8.1.-
Q9XTF3-A	2.7.12.1,2.7.12.-
B8JE78-A	2.4.1.-
Q1GYC2-A	2.3.1.-
A5GCW3-A	1.2.1.-
P19748-A	2.1.1.-,2.1.1.57
G2IQS8-A	1.5.1.-
P18949-A	4.4.1.-
Q73BA1-A	1.1.1.-,1.1.1.86
Q1WUT4-A	2.5.1.-,2.5.1.6
O14002-A	2.7.13.-,2.7.13.3
Q8YIL6-A	2.8.1.-
Q3AWE6-A	2.5.1.-,2.5.1.6
Q163G3-A	2.6.1.-
Q0U6X2-A	3.6.4.-,3.6.4.13
Q3SV39-A	2.3.1.-,2.3.1.31
A1CVQ6-A	1.1.1.-
Q4JAL1-A	2.5.1.-,2.5.1.6
A6SUW6-B	2.8.1.-
Q8DTQ9-A	4.2.1.-
P44527-A	4.4.1.-
Q6G4V6-A	2.8.4.-
P03956-A	3.4.24.-
A0JNM6-A	3.2.1.17,3.2.1.-
Q9DA11-A	3.2.1.17,3.2.1.-
B1I6C4-A	2.5.1.-,2.5.1.6
B0K736-A	4.2.1.-
A5FVN0-A	2.3.1.-,2.3.1.31
Q2T7J2-A	1.1.1.-,1.1.1.37
P38417-A	1.13.11.-
A8E1C4-A	3.4.19.12,3.4.19.-
B0T155-A	2.8.4.-
Q76I22-A	1.13.11.-
A8ZYC8-A	2.5.1.-,2.5.1.6
P49657-A	2.7.12.1,2.7.12.-
A0AK37-A	2.6.1.-
Q7A6U1-A	2.7.8.-
Q73PV6-A	2.8.1.-
Q9FF31-A	2.7.11.1,2.7.11.-
F1RA39-A	1.14.13.-
B1M4Z8-A	2.5.1.-,2.5.1.6
Q491Z2-A	1.1.1.-,1.1.1.86
Q6G2E2-A	3.6.3.-
A6TLR3-A	6.3.5.-,6.3.5.2
Q0W8U9-A	3.5.4.-
Q480B8-B	2.8.1.-
C3K6G9-A	2.4.1.-
P13894-A	3.6.4.-
B9DUB2-A	6.3.5.-,6.3.5.2
Q71Y38-A	4.2.1.-
P32906-A	3.2.1.-
Q47GJ3-A	5.1.3.-
Q3B2F5-A	2.7.11.-
Q48F69-A	2.3.1.-
Q6NHQ7-A	2.8.1.-
Q2NWV8-A	2.1.1.-
Q9CMG8-A	2.7.1.-
A1VGB0-A	5.1.3.-
Q5FHY3-A	1.7.1.-
B1KHU9-A	2.5.1.-
Q0VQP4-A	2.7.1.-
B8EQC8-A	4.2.1.-
Q3SQP4-A	6.3.5.-,6.3.5.2
B4ET31-A	2.7.1.-
B6HZ24-A	2.3.3.-
Q6D288-A	6.3.5.-,6.3.5.2
P0AFS9-A	3.4.24.-
Q66EJ9-A	3.5.1.-
Q6APU2-A	6.3.5.-,6.3.5.2
O59736-A	2.3.3.-
Q8DXM9-A	6.3.2.-
Q47VR7-A	3.5.1.-
P54528-A	4.1.3.-
B7KFF5-A	2.5.1.-,2.5.1.6
O32462-A	2.4.1.-
B7V147-A	2.7.1.-
Q12717-A	1.10.3.-,1.10.3.2
Q65MU0-A	6.3.5.-,6.3.5.2
Q9KF78-A	6.3.5.-,6.3.5.2
A8FPR6-A	2.2.1.-
P83101-A	2.7.11.26,2.7.11.-
Q0CFJ0-A	3.4.24.-
Q55738-A	5.6.2.2,5.6.2.-
A4W527-A	5.1.3.-
Q31B91-A	1.1.1.-,1.1.1.85
Q83L12-A	3.6.3.-
P0C886-A	3.6.3.-
Q7U899-A	4.3.2.-,4.3.2.10
Q9PR63-A	5.6.2.2,5.6.2.-
Q01987-A	1.1.1.-,1.1.1.85
A1STC8-A	2.7.1.-
P59507-A	2.5.1.-
A6VLD2-A	5.1.3.-
A5IYK6-A	2.8.1.-
Q94BZ7-A	5.6.2.2,5.6.2.-
B4SFI3-A	1.2.1.-
Q6G197-A	6.3.5.-,6.3.5.2
B8CX96-A	2.5.1.-
O23346-A	4.2.1.-
A2SHT9-A	1.1.1.-,1.1.1.37
Q5YPB0-A	2.1.1.-
A8FPP0-A	3.4.21.-
Q6XMH7-A	3.4.11.18,3.4.11.-
P50074-A	5.6.2.2,5.6.2.-
B5EEZ1-A	2.7.1.-
Q2KZE8-A	2.7.1.-
A1R990-A	2.1.1.-
Q6CP80-A	3.4.11.18,3.4.11.-
Q6MLD2-A	6.3.5.-,6.3.5.2
C3MGV8-B	2.7.1.-
Q8CX09-A	2.5.1.-
Q15RU5-A	5.3.1.16,5.3.1.-
P13860-A	3.2.1.91,3.2.1.-
P72215-A	2.3.1.129,2.3.1.-
Q7W7F7-H	2.7.1.-
Q0VMA1-A	3.6.1.-
A4XHV1-A	2.3.1.-
C4K8I6-A	5.1.3.-
A8LGR0-A	5.3.1.16,5.3.1.-
B1L873-A	4.3.2.-,4.3.2.10
Q7N9N4-A	6.5.1.2,6.5.1.-
A9WRT1-A	2.1.1.-
Q8KFI0-A	2.3.2.-
B8DBU4-A	2.3.3.-
Q31HZ1-A	1.1.1.-,1.1.1.86
B7E7M8-A	3.2.2.-
Q3K5E7-A	6.5.1.2,6.5.1.-
P50900-A	3.2.1.91,3.2.1.-
Q7SIB9-B	4.3.2.-,4.3.2.10
Q82WI7-A	4.2.1.-
A4G4H8-A	1.1.1.-,1.1.1.86
B9M0L9-A	5.3.1.16,5.3.1.-
Q492E5-A	6.3.5.-,6.3.5.2
Q1QUS4-A	2.3.2.-
Q8KBH7-A	3.4.23.-
A8EX78-A	2.3.1.-
Q31FG4-A	5.1.3.-
A8YUC7-A	2.7.11.-
Q4L547-A	2.2.1.-
B5BLD7-A	1.7.1.-
C3PFX5-A	1.1.1.-,1.1.1.85
P31958-A	1.1.1.-,1.1.1.85
P05652-B	5.6.2.2,5.6.2.-
Q92KY8-A	1.1.1.-,1.1.1.85
E0SRA9-A	1.1.1.-
Q6CEF3-A	6.3.5.-,6.3.5.2
Q38YB1-A	2.7.11.-
B4U6P0-A	2.5.1.-
P0A7C5-A	3.4.21.-
Q2IYZ6-A	2.7.1.-
A9AY15-A	2.5.1.-
Q1MG80-A	2.3.1.-
Q0C511-A	2.5.1.-
O27439-A	4.2.1.-
Q89B37-A	5.6.2.2,5.6.2.-
A0QRN6-A	3.5.2.-
Q28T07-A	1.1.1.-,1.1.1.86
Q2GHY2-A	6.3.5.-,6.3.5.2
Q8DT87-A	2.5.1.-
Q480P4-A	2.3.2.-
A5G6F4-A	2.7.1.-
Q5FS52-A	2.7.1.-
Q8CPH1-A	3.4.25.-
A9MKM6-A	6.5.1.2,6.5.1.-
Q5KVY8-A	4.4.1.-
Q48734-A	3.4.25.-
Q3AF13-A	3.6.5.-
D9PVI7-A	1.1.1.-
A6X449-A	4.2.1.-
P29057-A	1.1.1.-
Q9A059-A	2.5.1.-
B1YKZ3-A	4.4.1.-
B2B738-A	3.4.11.18,3.4.11.-
Q9SGP2-A	2.7.11.1,2.7.11.-
B3H0S1-A	2.3.1.129,2.3.1.-
Q30X16-A	3.5.1.-
A4W502-A	6.5.1.2,6.5.1.-
Q4L4I8-A	2.5.1.-
A6VQJ6-A	2.3.1.129,2.3.1.-
Q9L6I1-A	1.1.1.-
Q9UYT4-A	3.4.11.18,3.4.11.-
A5UAM9-A	2.7.1.-
Q9FAX2-A	5.6.2.2,5.6.2.-
Q5ZC82-A	3.2.2.-
A4SQH0-A	2.3.1.129,2.3.1.-
Q4JUQ0-A	1.1.1.-,1.1.1.85
A6W849-A	2.5.1.-
Q04DA2-A	4.2.1.-
A4T9U2-A	6.1.1.6,6.1.1.-
B9JX23-A	2.3.1.129,2.3.1.-
Q1H149-A	2.3.1.-
A4XWS9-A	2.3.1.129,2.3.1.-
Q5D892-B	3.6.4.-,3.6.4.13
Q21CS1-A	1.1.1.-,1.1.1.85
C5D6T8-A	4.4.1.-
Q89N53-A	6.3.5.-,6.3.5.2
P14240-A	2.7.7.48,2.7.7.-
P60969-A	2.5.1.-
P07986-A	3.2.1.91,3.2.1.-
B1MGB3-A	2.7.4.3,2.7.4.-
B6EJW8-A	2.3.1.129,2.3.1.-
A9LYZ3-A	2.5.1.-
B1MDQ1-A	4.2.1.-
Q5H0T8-A	2.7.4.-
Q7VCA1-A	1.2.1.-
Q46481-A	2.3.1.129,2.3.1.-
O58362-A	3.4.11.18,3.4.11.-
B2FUV7-A	3.4.25.-
B0RE23-A	2.3.1.-
Q8Y4G1-A	2.7.11.-
B7INA1-A	4.3.2.-,4.3.2.10
A0LRP1-A	2.7.4.3,2.7.4.-
P25894-A	3.4.24.-
Q4WA38-A	1.13.11.-
Q21HI2-A	2.3.1.-
A1B515-A	4.2.1.-
B3E2H7-A	2.5.1.-
A7HT11-A	4.2.1.-
P61976-A	1.1.1.-,1.1.1.37
Q68XZ4-A	2.3.1.-
Q5LS40-A	2.3.1.-
Q8XNK7-A	5.3.1.-
Q8R5S5-A	2.5.1.-
A5W838-A	2.3.1.129,2.3.1.-
Q51876-A	3.4.21.-
A5UQF5-A	3.4.21.-
Q3TRM8-A	2.7.1.1,2.7.1.-
B0UUC9-A	3.4.24.-
Q9C5M3-A	4.2.1.-
A7IHN9-A	4.3.2.-,4.3.2.10
C4Z3X1-A	6.3.5.-,6.3.5.2
P51271-A	1.14.14.-,1.14.14.18
Q9KP81-A	4.2.1.-
A1TDB7-C	4.1.3.-
B9ME75-A	1.7.1.-
Q6MP09-A	2.7.4.-
Q9FAX1-C	5.6.2.2,5.6.2.-
P45239-A	2.3.1.-
D4DE65-A	3.4.11.18,3.4.11.-
Q5NZT6-A	3.6.3.-
Q0I1X5-A	2.7.1.-
A7GMU8-A	4.3.2.-,4.3.2.10
Q9CJN8-A	4.2.1.-
C3PHK5-A	2.3.1.-
O61267-A	2.7.11.1,2.7.11.-
O82782-A	5.3.1.16,5.3.1.-
A0LEB7-A	3.4.25.-
Q75DY0-A	2.5.1.-
Q0A9D7-A	3.5.4.-
B2UBD1-A	6.3.5.-,6.3.5.2
A4TE23-A	4.2.1.-
A7H9D6-A	2.3.1.129,2.3.1.-
Q4L7U0-A	2.3.3.-
Q6CA79-A	3.4.11.18,3.4.11.-
A4G6S1-A	3.6.5.-
O33123-A	4.2.1.-
B9DNV5-A	2.1.1.-
Q8CX97-A	2.5.1.-
Q5LBD5-A	4.3.2.-,4.3.2.10
B4UGV2-A	2.3.1.129,2.3.1.-
Q5R8C2-A	3.1.2.-
A6WZF1-A	2.5.1.-
A1WZB3-A	2.7.1.-
A9KQ65-A	1.1.1.-,1.1.1.86
Q15SQ8-A	1.2.1.-
P28239-A	3.6.1.1,3.6.1.-
Q96WT9-A	1.1.1.-,1.1.1.85
A7MR30-A	2.5.1.-
Q5YV93-A	4.1.3.-
O82793-A	3.6.1.1,3.6.1.-
Q87QL1-A	1.1.1.-
P9WQB2-A	2.3.3.-
Q1D385-A	2.3.1.-
Q839Z1-B	5.6.2.2,5.6.2.-
Q6ALZ3-A	2.3.2.-
Q475B0-A	2.5.1.-
B8H2Z7-A	3.6.5.-
P43701-A	5.6.2.2,5.6.2.-
Q9SBL1-A	2.4.1.-
Q1B7P4-A	6.1.1.6,6.1.1.-
A5N5Y0-A	1.2.1.-
Q9JZG1-A	2.3.3.-
Q8Z9I1-A	1.1.1.-,1.1.1.85
Q5FJ02-A	2.5.1.-
P44567-A	2.3.1.-
A7RX26-A	3.5.2.-
O82768-A	3.5.4.-
Q2S211-A	4.6.1.12,4.6.1.-
B2JQW0-C	4.1.3.-
O66862-A	2.3.1.129,2.3.1.-
Q7VFZ3-A	2.7.1.-
C1DA41-A	1.1.1.-,1.1.1.86
Q9RTH9-A	1.1.1.-,1.1.1.85
Q47Q20-A	2.2.1.-
Q2S0M8-A	1.1.1.-,1.1.1.85
B4RCC0-A	4.2.1.-
P57954-A	4.6.1.12,4.6.1.-
Q30WD0-A	1.1.1.-,1.1.1.85
Q6AEP2-A	1.1.1.-,1.1.1.86
Q1IEX2-A	1.2.1.-
O31046-A	2.3.3.-
Q24XT2-A	1.1.1.-,1.1.1.85
A1SAS5-A	4.2.1.-
D3HCJ2-A	2.3.3.-
Q9CXF0-A	3.7.1.-
B5EE49-A	2.8.4.-
Q49Z12-A	2.3.3.-
F1QQC3-A	1.4.3.-
Q82BV3-A	2.3.3.-
Q9K6Z4-A	4.3.2.-,4.3.2.10
Q4JWD9-A	2.3.1.-
Q938C9-A	4.2.1.-
A1VRR1-A	4.2.1.-
Q7G4P2-A	2.3.1.-
P75548-A	2.7.11.-
P00343-A	1.1.1.27,1.1.1.-
B3QAC6-A	2.8.4.-
A8LAX2-A	6.3.5.-,6.3.5.2
O31534-A	1.14.14.-,1.14.14.18
Q72AR0-A	2.7.4.3,2.7.4.-
Q81JJ9-A	1.7.1.-
B4U8R9-A	3.6.1.-
B6EXY6-A	5.4.99.-
Q9FZI2-A	5.4.99.-
P38049-A	1.14.14.-,1.14.14.18
A7I444-A	2.5.1.-
Q0E2Q3-A	3.6.4.-,3.6.4.13
Q3ATB2-A	3.6.5.-
B7VHY7-A	2.2.1.-
Q987R3-A	6.3.5.-,6.3.5.2
Q9CLD5-A	2.7.1.-
Q67LE6-A	2.1.1.-
Q1C259-A	6.5.1.2,6.5.1.-
Q98PL1-A	2.7.11.-
A2BW57-A	4.2.1.-
C1DST4-A	2.3.1.129,2.3.1.-
A4W6E2-A	3.4.23.-
Q87N26-A	2.7.4.-,2.7.4.9
A2CAC6-A	4.2.1.-
Q2NRM0-A	2.4.1.-
Q834D8-A	3.4.23.-
B2VH02-A	3.4.23.-
P51019-A	4.1.3.-
Q3ZXW0-A	2.5.1.-
Q0HHP5-A	3.4.24.-
P32394-A	1.14.14.-,1.14.14.18
B0U3S8-A	2.7.4.-
Q1GRH5-A	3.6.5.-
Q95M12-A	3.4.22.-
Q4L711-A	1.2.1.-
O52352-A	2.7.4.3,2.7.4.-
Q049I6-A	2.5.1.-
P58186-A	2.7.1.-
Q9CAI7-A	3.6.4.-,3.6.4.13
O42878-A	3.2.1.26,3.2.1.-
P25987-A	2.7.1.21,2.7.1.-
P34048-A	4.2.1.-
B2IKW6-A	2.7.4.-
B9MI80-A	2.7.4.3,2.7.4.-
B1IAK9-A	2.5.1.-
B2UBB3-A	2.3.1.129,2.3.1.-
P15700-A	2.7.4.-
P0ACV2-A	2.3.1.-
Q1QQR2-A	1.1.1.-,1.1.1.37
Q747I1-A	2.5.1.-
Q3J877-A	2.3.3.-
B2UEE3-A	3.6.1.-
Q02AZ6-A	2.4.1.-
Q888C2-A	1.2.1.-
B4F1U3-A	4.2.1.-
Q3A8K5-A	5.1.3.-
Q974X3-A	2.3.3.-
Q2IV75-A	6.3.5.-,6.3.5.2
A0ACX8-A	1.11.1.-
Q8VQ21-A	2.3.1.129,2.3.1.-
Q2LWJ3-A	2.3.3.-
B2FQ15-A	1.2.1.-
B1XLQ9-A	2.3.3.-
B8F3C2-A	3.5.1.-
Q49XD2-A	1.7.1.-
Q182Z4-A	2.5.1.-
Q477G6-A	2.3.1.-
Q7MY46-A	5.1.3.-
A7FJW8-A	2.7.4.-
Q7VR42-A	2.7.4.-
B1W5Q9-A	1.11.1.-
Q39YS9-A	3.4.23.-
A1VR25-A	5.1.3.-
Q4L646-A	1.7.1.-
Q7N8U5-A	2.5.1.-
B0T114-A	2.7.1.-
P47417-A	2.7.4.3,2.7.4.-
O87864-A	1.11.1.-
Q9KBR4-A	3.2.1.55,3.2.1.-
O15217-A	2.5.1.-,2.5.1.18
Q2K8X7-A	2.3.1.129,2.3.1.-
Q9I5G7-A	3.4.21.-
Q74IF3-A	2.5.1.-
Q67LP5-A	1.11.1.-
Q9CHU2-A	2.5.1.-
Q9ZSK1-A	2.1.1.-
Q27YE5-A	2.7.7.48,2.7.7.-
P24472-A	2.5.1.-,2.5.1.18
A2RIU4-A	2.5.1.-
Q5L8X2-A	4.6.1.12,4.6.1.-
Q9I697-A	6.3.2.-
Q1E803-A	1.13.11.-
Q8XL81-A	3.4.21.-
Q6MMY0-A	3.6.3.-
P14942-A	2.5.1.-,2.5.1.18
Q7RTV2-A	2.5.1.-,2.5.1.18
Q4L7T9-A	1.1.1.-,1.1.1.86
Q1GD92-A	2.7.1.-
Q02QH1-A	5.1.3.-
A1WHV5-A	2.4.1.-
A4SWH9-A	2.5.1.-
B8HAC8-A	4.2.1.-
A1AXA3-B	2.7.1.-
Q748X2-A	1.1.1.-,1.1.1.85
P58551-A	2.7.1.-
B7GT76-A	2.3.3.-
Q47LE2-A	2.1.1.-
A5GRZ0-A	2.3.3.-
A4T9N2-A	4.3.2.-,4.3.2.10
Q9WZL2-A	2.1.1.-
Q0IBI3-A	2.3.3.-
Q5KWJ4-A	1.1.1.-,1.1.1.85
Q7VRD4-A	2.3.1.129,2.3.1.-
Q8H038-A	2.4.1.-
C1AM02-A	2.7.1.-
B6JB87-A	2.3.3.-
A9KL08-A	2.5.1.-
Q88LE7-A	4.2.1.-
Q8LG50-A	2.3.1.-
A1AXH0-A	6.3.5.-,6.3.5.2
B0US73-A	3.5.1.-
A6U8L0-A	2.3.1.-
E1QWZ1-A	2.3.3.-
Q87VA4-A	6.3.2.-
Q13QH6-C	4.1.3.-
P57204-A	4.3.2.-,4.3.2.10
B1XVJ0-A	2.5.1.-
Q65T41-A	2.7.1.-
B4SDZ4-A	2.7.11.-
Q4JAP9-A	6.3.2.-
Q12BS8-A	2.5.1.-
B8GXU1-A	2.5.1.-
Q9RWA5-A	2.3.1.-
Q96RQ3-A	6.4.1.-
C5BE98-A	2.3.2.-
A0L7X0-A	2.7.1.-
Q72DM3-A	2.3.1.-
P59971-A	6.5.1.-,6.5.1.1
Q1WUH1-A	2.5.1.-
Q2W993-A	2.7.1.-
P43053-A	5.6.2.2,5.6.2.-
A1R6V4-A	2.3.3.-
C4L854-A	2.3.1.-
A8ADX0-A	4.2.99.-
A4VKE8-A	4.2.1.-
P0DOW5-A	3.4.21.-
O59397-A	1.2.1.-
P61494-A	1.1.1.-,1.1.1.85
B2SXZ9-A	2.3.3.-
Q4L8Y7-A	2.7.7.9,2.7.7.-
Q1I411-A	2.7.1.-
Q8DTG3-A	1.1.1.-,1.1.1.85
Q80V26-A	3.1.3.25,3.1.3.-
A1WVT9-A	2.5.1.-
Q8U0B6-A	1.2.1.-
A4VR47-A	2.7.1.-
B2VAE4-B	2.5.1.-
Q04DA3-A	4.2.1.-
A4WE04-A	2.5.1.-
C4LAV7-A	2.3.3.-
Q605K9-A	1.1.1.-,1.1.1.86
A4SGJ0-A	6.3.5.-,6.3.5.2
Q50966-A	7.2.2.-
P18962-A	3.4.14.-
P37567-A	1.3.1.-
A4Y185-A	2.7.7.23,2.7.7.-
B3CLN1-A	3.5.1.-
Q7WD75-A	4.2.1.-,4.2.1.11
Q9A6I5-A	4.2.1.2,4.2.1.-
Q7S1X0-A	3.1.1.-
O26230-A	2.5.1.-
B1YJ41-A	2.3.1.-
